process,from,to
k_Advection,Arctic,Moderate
k_Advection,Arctic,Moderate
k_Advection,Continental,Moderate
k_Advection,Continental,Moderate
k_Advection,Continental,Regional
k_Advection,Continental,Regional
k_Advection,Continental,Tropic
k_Advection,Moderate,Arctic
k_Advection,Moderate,Arctic
k_Advection,Moderate,Continental
k_Advection,Moderate,Continental
k_Advection,Moderate,Tropic
k_Advection,Moderate,Tropic
k_Advection,Regional,Continental
k_Advection,Regional,Continental
k_Advection,Tropic,Continental
k_Advection,Tropic,Moderate
k_Advection,Tropic,Moderate
