VarName,Scale,SubCompart,Waarde,SB4N_name,Unit
landFRAC,Continental,agriculturalsoil,0.6,FRACagsoil,[-]
landFRAC,Continental,lake,0.0025,FRAClake,[-]
landFRAC,Continental,naturalsoil,0.27,FRACnatsoil,[-]
landFRAC,Continental,othersoil,0.1,FRACothersoil,[-]
landFRAC,Continental,river,0.0275,FRACfresh,[-]
landFRAC,Regional,agriculturalsoil,0.6,FRACagsoil,[-]
landFRAC,Regional,lake,0.0025,FRAClake,[-]
landFRAC,Regional,naturalsoil,0.27,FRACnatsoil,[-]
landFRAC,Regional,othersoil,0.1,FRACothersoil,[-]
landFRAC,Regional,river,0.0275,FRACfresh,[-]
MICROBconc,Arctic,air,0,MICROBconc.aA,CFU.mL-1
MICROBconc,Arctic,cloudwater,0,MICROBconc.aA,CFU.mL-1
MICROBconc,Arctic,deepocean,0,MICROBconc.w3A,CFU.mL-1
MICROBconc,Arctic,marinesediment,0,MICROBconc.sdA,CFU.mL-1
MICROBconc,Arctic,naturalsoil,0,MICROBconc.sA,CFU.mL-1
MICROBconc,Arctic,sea,0,MICROBconc.w2A,CFU.mL-1
MICROBconc,Continental,agriculturalsoil,121000000,MICROBconc.s2C,CFU.mL-1
MICROBconc,Continental,air,0.5,MICROBconc.aC,CFU.mL-1
MICROBconc,Continental,cloudwater,0.5,MICROBconc.aC,CFU.mL-1
MICROBconc,Continental,deepocean,250000,MICROBconc.w3C,CFU.mL-1
MICROBconc,Continental,freshwatersediment,482000,MICROBconc.sd1C,CFU.mL-1
MICROBconc,Continental,lake,250000,MICROBconc.w0C,CFU.mL-1
MICROBconc,Continental,lakesediment,482000,MICROBconc.sd0C,CFU.mL-1
MICROBconc,Continental,marinesediment,482000,MICROBconc.sd2C,CFU.mL-1
MICROBconc,Continental,naturalsoil,121000000,MICROBconc.s1C,CFU.mL-1
MICROBconc,Continental,othersoil,121000000,MICROBconc.s3C,CFU.mL-1
MICROBconc,Continental,river,250000,MICROBconc.w1C,CFU.mL-1
MICROBconc,Continental,sea,250000,MICROBconc.w2C,CFU.mL-1
MICROBconc,Moderate,air,0,MICROBconc.aM,CFU.mL-1
MICROBconc,Moderate,cloudwater,0,MICROBconc.aM,CFU.mL-1
MICROBconc,Moderate,deepocean,0,MICROBconc.w3M,CFU.mL-1
MICROBconc,Moderate,marinesediment,0,MICROBconc.sdM,CFU.mL-1
MICROBconc,Moderate,naturalsoil,0,MICROBconc.sM,CFU.mL-1
MICROBconc,Moderate,sea,0,MICROBconc.w2M,CFU.mL-1
MICROBconc,Regional,agriculturalsoil,121000000,MICROBconc.s2R,CFU.mL-1
MICROBconc,Regional,air,0.5,MICROBconc.aR,CFU.mL-1
MICROBconc,Regional,cloudwater,0.5,MICROBconc.aR,CFU.mL-1
MICROBconc,Regional,deepocean,250000,MICROBconc.w3R,CFU.mL-1
MICROBconc,Regional,freshwatersediment,482000,MICROBconc.sd1R,CFU.mL-1
MICROBconc,Regional,lake,250000,MICROBconc.w0R,CFU.mL-1
MICROBconc,Regional,lakesediment,482000,MICROBconc.sd0R,CFU.mL-1
MICROBconc,Regional,marinesediment,482000,MICROBconc.sd2R,CFU.mL-1
MICROBconc,Regional,naturalsoil,121000000,MICROBconc.s1R,CFU.mL-1
MICROBconc,Regional,othersoil,121000000,MICROBconc.s3R,CFU.mL-1
MICROBconc,Regional,river,250000,MICROBconc.w1R,CFU.mL-1
