"VarName","Compartment","Species","Waarde","SB4N_name","Unit"
"BACTcomp","water","Unbound",40000,"BACT.w","CFU.mL-1"
"NaturalRad","air","Large",9e-07,"RadCP.a","m"
"NaturalRad","sediment","Large",0.000128,"RadFP.sd","m"
"NaturalRad","sediment","Small",1.5e-07,"RadNC.sd","m"
"NaturalRad","soil","Large",0.000128,"RadFP.s","m"
"NaturalRad","soil","Small",1.5e-07,"RadNC.s","m"
"NaturalRad","water","Large",3e-06,"RadSPM.w","m"
"NaturalRad","water","Small",1.5e-07,"RadNC.w","m"
"NaturalRho","air","Large",2000,"RhoCP.a","kg/m3"
"NaturalRho","sediment","Small",2000,"RhoNC.sd","kg/m3"
"NaturalRho","soil","Large",2500,"RhoFP.s","kg/m3"
"NaturalRho","soil","Small",2000,"RhoNC.s","kg/m3"
"NaturalRho","water","Large",2500,"RhoSPM.w","kg/m3"
"NaturalRho","water","Small",2000,"RhoNC.w","kg/m3"
