process,from,to
k_Adsorption,air,agriculturalsoil
k_Adsorption,air,lake
k_Adsorption,air,naturalsoil
k_Adsorption,air,othersoil
k_Adsorption,air,river
k_Adsorption,air,sea
k_Adsorption,deepocean,marinesediment
k_Adsorption,lake,lakesediment
k_Adsorption,river,freshwatersediment
k_Adsorption,sea,marinesediment
k_Advection,deepocean,sea
k_Advection,lake,river
k_Advection,lake,sea
k_Advection,river,lake
k_Advection,river,sea
k_Advection,sea,deepocean
k_AirRemoval,air,air
k_AirRemoval,cloudwater,cloudwater
k_Burial,freshwatersediment,freshwatersediment
k_Burial,lakesediment,lakesediment
k_Burial,marinesediment,marinesediment
k_CWscavenging,air,cloudwater
k_Degradation,agriculturalsoil,agriculturalsoil
k_Degradation,air,air
k_Degradation,deepocean,deepocean
k_Degradation,freshwatersediment,freshwatersediment
k_Degradation,lake,lake
k_Degradation,lakesediment,lakesediment
k_Degradation,marinesediment,marinesediment
k_Degradation,naturalsoil,naturalsoil
k_Degradation,othersoil,othersoil
k_Degradation,river,river
k_Degradation,sea,sea
k_Deposition,air,agriculturalsoil
k_Deposition,air,lake
k_Deposition,air,naturalsoil
k_Deposition,air,othersoil
k_Deposition,air,river
k_Deposition,air,sea
k_Desorption,freshwatersediment,river
k_Desorption,lakesediment,lake
k_Desorption,marinesediment,deepocean
k_Desorption,marinesediment,sea
k_DryDeposition,air,agriculturalsoil
k_DryDeposition,air,lake
k_DryDeposition,air,naturalsoil
k_DryDeposition,air,othersoil
k_DryDeposition,air,river
k_DryDeposition,air,sea
k_Erosion,agriculturalsoil,lake
k_Erosion,agriculturalsoil,river
k_Erosion,naturalsoil,lake
k_Erosion,naturalsoil,river
k_Erosion,naturalsoil,sea
k_Erosion,othersoil,lake
k_Erosion,othersoil,river
k_Escape,air,air
k_Fragmentation,agriculturalsoil,agriculturalsoil
k_Fragmentation,air,air
k_Fragmentation,deepocean,deepocean
k_Fragmentation,freshwatersediment,freshwatersediment
k_Fragmentation,lake,lake
k_Fragmentation,lakesediment,lakesediment
k_Fragmentation,marinesediment,marinesediment
k_Fragmentation,naturalsoil,naturalsoil
k_Fragmentation,othersoil,othersoil
k_Fragmentation,river,river
k_Fragmentation,sea,sea
k_Leaching,agriculturalsoil,agriculturalsoil
k_Leaching,naturalsoil,naturalsoil
k_Leaching,othersoil,othersoil
k_Resuspension,freshwatersediment,river
k_Resuspension,lakesediment,lake
k_Resuspension,marinesediment,deepocean
k_Resuspension,marinesediment,sea
k_Runoff,agriculturalsoil,lake
k_Runoff,agriculturalsoil,river
k_Runoff,naturalsoil,lake
k_Runoff,naturalsoil,river
k_Runoff,naturalsoil,sea
k_Runoff,othersoil,lake
k_Runoff,othersoil,river
k_Sedimentation,deepocean,marinesediment
k_Sedimentation,lake,lakesediment
k_Sedimentation,river,freshwatersediment
k_Sedimentation,sea,deepocean
k_Sedimentation,sea,marinesediment
k_SedimentRemoval,freshwatersediment,freshwatersediment
k_SedimentRemoval,lakesediment,lakesediment
k_SedimentRemoval,marinesediment,marinesediment
k_SoilRemoval,agriculturalsoil,agriculturalsoil
k_SoilRemoval,naturalsoil,naturalsoil
k_SoilRemoval,othersoil,othersoil
k_Volatilisation,agriculturalsoil,air
k_Volatilisation,lake,air
k_Volatilisation,naturalsoil,air
k_Volatilisation,othersoil,air
k_Volatilisation,river,air
k_Volatilisation,sea,air
k_WaterRemoval,deepocean,deepocean
k_WaterRemoval,lake,lake
k_WaterRemoval,river,river
k_WaterRemoval,sea,sea
k_WetDeposition,cloudwater,agriculturalsoil
k_WetDeposition,cloudwater,lake
k_WetDeposition,cloudwater,naturalsoil
k_WetDeposition,cloudwater,othersoil
k_WetDeposition,cloudwater,river
k_WetDeposition,cloudwater,sea
