"Substance","X.1","X","ChemClass","pKa","MW","Tm","Pvap25","Sol25","Kaw25","Kow","Ksw","Kp.col","Kp.susp","Kp.sed","Kp.soil","RadS","RhoS","hamakerSP.w","Shape","Longest_side","Intermediate_side","Shortest_side"
"(4-chloro-2-methylphenoxy)acetic acid",1,1,"",NA,201,118,0.00027,320000,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(4-Chloro-2-methylphenoxy)acetic acid compd. with N-Methylmethanamine (1:1)",2,2,"acid",3.13,200.62,NA,0.000786667,630,NA,1778.27941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethoxy-, dihydrochloride",3,3,"base",3.7,317.22,NA,2.77e-14,3178,NA,3.715352291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[1,1'-Biphenyl]-4,4'-diamine, 3,3'-dimethyl-, dihydrochloride",4,4,"base",4.5,212.3,NA,0.002746667,1300,NA,218.7761624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-AMINO-2-PROPANOL",5,5,"base",9.94,75.11,NA,62.66666665,1e+06,NA,0.10964782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-aminoanthraquinone",6,6,"",NA,223,260,1e-07,20,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-CHLORO-2-METHYLPROPENE",7,7,"neutral",NA,90.55,NA,20533.33333,1000,NA,380.1893963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-Chloro-2-nitro-propane",8,8,"neutral",NA,123.54,NA,185.3333333,8000,NA,13.48962883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-chloro-2-nitrobenzene",9,9,"",NA,158,32,5.8,590,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-chloro-2,3-epoxypropane",10,10,"",NA,93,-57,1300,66000,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-chloro-2,4-dinitrobenzene",11,11,"",NA,203,50,0.01,360,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-chloro-3-nitrobenzene",12,12,"",NA,158,44,1.1,390,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-chloro-4-nitrobenzene",13,13,"",NA,158,83,8.5,230,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-Heptadecanamine",14,14,"base",10.41,255.49,NA,0.022666667,0.1536,NA,16595869.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-Hexadecanamine, N,N-dimethyl-",15,15,"base",7.12,269.52,NA,0.038133333,0.08883,NA,25703957.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-Hexanamine, N-hexyl-",16,16,"base",10.8,185.36,NA,7.613333331,129,NA,54954.08739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-HEXEN-3-OL",17,17,"neutral",NA,100.16,NA,437.3333332,25200,NA,40.73802778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-HYDROXYANTHRAQUINONE",18,18,"acid",9.47,224.22,NA,2.78666666597e-05,8.5,NA,3311.311215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-methoxypropan-2-ol",19,19,"",NA,90,-96,1200,1.9,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-methyl-2-pyrrolidone",20,20,"",NA,99,-24,25,1e+06,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-METHYL-PYRROLIDINE",21,21,"base",10.32,85.15,NA,13333.33333,213100,NA,8.317637711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-NAPHTHALENAMINE, N-ETHYL-",22,22,"base",4.19,171.24,NA,0.0792,110,NA,2818.382931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-NAPHTHOL",23,23,"acid",9.34,144.17,NA,0.036533333,866,NA,707.9457844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-NITROBUTANE",24,24,"neutral",NA,103.12,NA,505.3333332,4600,NA,29.51209227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-NONANOL",25,25,"neutral",NA,144.26,NA,3.026666666,140,NA,5888.436554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-OCTADECANOL",26,26,"neutral",NA,270.5,NA,0.00036,0.0011,NA,52480746.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
